48,0.5,49.96974
48.27908,0.5,57.96339
49.38956,0.5,65.87874
51.88724,0.5,73.46407
56.49057,0.5,79.95506
63.06046,0.5,84.45155
70.7439,0.5,86.56865
78.70111,0.5,86.24727
86.21951,0.5,83.56291
92.80518,0.5,79.06154
98.18765,0.5,73.15895
102.5982,0.5,66.49068
105.8006,0.5,59.17931
107.2103,0.5,51.31813
107.2268,0.5,43.32381
106.6215,0.5,35.34834
104.9939,0.5,27.53267
101.1859,0.5,20.52849
95.63284,0.5,14.80394
88.57581,0.5,11.11559
81.4039,0.5,7.582321
74.72095,0.5,3.190079
68.7587,0.5,-2.124496
64.07419,0.5,-8.587204
60.62354,0.5,-15.79691
58.24838,0.5,-23.42606
57.93991,0.5,-31.38557
60.09457,0.5,-39.05872
64.4093,0.5,-45.76863
70.01007,0.5,-51.47011
76.25342,0.5,-56.46506
83.18234,0.5,-60.4511
90.59708,0.5,-63.43854
98.15292,0.5,-66.06622
105.7559,0.5,-68.55046
113.5923,0.5,-70.08556
121.503,0.5,-69.23018
128.6129,0.5,-65.63945
134.3708,0.5,-60.11411
139.3212,0.5,-53.83389
145.2278,0.5,-48.45103
151.8275,0.5,-43.94098
159.0457,0.5,-40.5056
166.6545,0.5,-38.06905
174.5912,0.5,-37.12071
182.5888,0.5,-37.15977
190.5241,0.5,-38.09714
198.1496,0.5,-40.47212
205.0598,0.5,-44.46017
210.9074,0.5,-49.90196
